                 74 --- 73: 20, 74: 05, 75: 00, 6F: 64, 70: 00
                 73 --- 73: 40, 74: 05, 75: 00, 6F: 64, 70: 00
                 6F --- 73: 40, 74: 05, 75: 00, 6F: C8, 70: 00
                 74 --- 73: 40, 74: 04, 75: 00, 6F: C8, 70: 00
                 73 --- 73: 80, 74: 04, 75: 00, 6F: C8, 70: 00
                 6F --- 73: 80, 74: 04, 75: 00, 6F: 90, 70: 00
                 74 --- 73: 80, 74: 03, 75: 00, 6F: 90, 70: 00
                 73 --- 73: 00, 74: 03, 75: 00, 6F: 90, 70: 00
                 6F --- 73: 00, 74: 03, 75: 00, 6F: 21, 70: 00
                 74 --- 73: 00, 74: 02, 75: 00, 6F: 21, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 21, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 42, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 42, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 42, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 84, 70: 00
READ  9D9A <- 00    --- 73: 00, 74: 01, 75: 00, 6F: 84, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 84, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 84, 70: 00
   WRITE 60CD -> 84 --- 73: 00, 74: 00, 75: 00, 6F: 84, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 84, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 84, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 08, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 08, 70: 00
                 74 --- 73: 00, 74: 08, 75: 00, 6F: 08, 70: 00
                 73 --- 73: 00, 74: 08, 75: 00, 6F: 08, 70: 00
                 6F --- 73: 00, 74: 08, 75: 00, 6F: 10, 70: 00
                 74 --- 73: 00, 74: 07, 75: 00, 6F: 10, 70: 00
                 73 --- 73: 00, 74: 07, 75: 00, 6F: 10, 70: 00
                 6F --- 73: 00, 74: 07, 75: 00, 6F: 20, 70: 00
                 74 --- 73: 00, 74: 06, 75: 00, 6F: 20, 70: 00
                 73 --- 73: 00, 74: 06, 75: 00, 6F: 20, 70: 00
                 6F --- 73: 00, 74: 06, 75: 00, 6F: 40, 70: 00
